Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time (seconds),Moving Time (seconds),Distance (meters),Max Speed,Average Speed,Elevation Gain (meters),Calories,Average Temperature
14665400522,"Dec 6, 2024, 10:07:39 PM",Afternoon Ride,Ride,2604,2431.0,7395.7001953125,9.583333015441900,3.042246103286740,160.42356872558600,1127.0,23.0
14665400543,"Dec 7, 2024, 5:02:14 PM",Morning Ride,Ride,8948,6085.0,20092.099609375,8.5,3.3019063472747800,356.3912048339840,2432.0,19.0
14665400557,"Dec 8, 2024, 7:55:07 PM",Lunch Ride,Ride,6067,5359.0,18465.0,8.442856788635250,3.445605516433720,318.537109375,1884.0,21.0
14665400569,"Dec 11, 2024, 10:29:15 PM",Afternoon Ride,Ride,7109,6506.0,20765.80078125,10.218181610107400,3.1917922496795700,544.6839599609380,2021.0,20.0
14665400605,"Dec 15, 2024, 4:56:31 PM",Morning Ride,Ride,9963,9414.0,30561.0,8.184615135192870,3.24633526802063,604.0516967773440,2893.0,9.0
14665406636,"Dec 1, 2024, 10:19:12 PM",Afternoon Ride,Ride,6912,6503.0,20796.5,9.95555591583252,3.1979856491088900,545.43798828125,1927.0,20.0
14665406638,"Nov 30, 2024, 5:07:35 PM",Morning Ride,Ride,5727,3611.0,10618.900390625,7.349999904632570,2.940708875656130,410.70806884765600,3623.0,20.0
14665406727,"Nov 21, 2024, 11:02:02 PM",Afternoon Ride,Ride,5536,5229.0,16864.80078125,10.0,3.2252438068389900,434.6833190917970,1594.0,22.0
14665406730,"Nov 18, 2024, 11:03:40 PM",Afternoon Ride,Ride,6543,6174.0,20808.099609375,9.880000114440920,3.3702785968780500,547.6881103515630,1917.0,15.0
14665406734,"Nov 27, 2024, 6:53:56 PM",Morning Ride,Ride,6948,6015.0,17091.30078125,8.050000190734860,2.8414463996887200,443.4240417480470,1927.0,19.0
14665406736,"Nov 12, 2024, 11:27:22 PM",Afternoon Ride,Ride,5670,5413.0,16845.0,10.760000228881800,3.111952781677250,434.07501220703100,1632.0,17.0
14665406737,"Nov 29, 2024, 6:24:03 PM",Morning Ride,Ride,5743,5193.0,16837.80078125,10.266666412353500,3.242403268814090,433.4130859375,1646.0,20.0
14665406739,"Nov 23, 2024, 9:11:16 PM",Afternoon Ride,Ride,4224,3880.0,10649.7001953125,8.633333206176760,2.7447681427002000,261.760009765625,1152.0,20.0
14665406753,"Nov 28, 2024, 7:15:22 PM",Lunch Ride,Ride,4773,4390.0,12441.7001953125,7.528571605682370,2.8341002464294400,329.46856689453100,1335.0,21.0
14665406754,"Nov 17, 2024, 8:46:23 PM",Lunch Ride,Ride,6371,5415.0,18401.0,8.420000076293950,3.398153305053710,317.9847717285160,1813.0,17.0
14665406757,"Nov 24, 2024, 5:43:29 PM",Morning Ride,Ride,6292,4644.0,17276.80078125,13.180000305175800,3.720241069793700,618.0103149414060,2529.0,14.0
14665406761,"Nov 28, 2024, 7:12:54 PM",Lunch Ride,Ride,6948,6015.0,17091.30078125,8.050000190734860,2.8414463996887200,443.4240417480470,1927.0,19.0
14665406814,"Oct 26, 2024, 4:44:02 PM",Morning Ride,Ride,3810,3211.0,9266.2998046875,7.657142639160160,2.885798931121830,229.3249969482420,514.0,20.0
